features_id,features,propertyType,zoning
0,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,Unknown
1,NaN,Single Family,Unknown
2,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""OTHER"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Block"", ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Fiberglass"", ""unitCount"": 1}",Single Family,R1
3,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Wood"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,RR
4,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Garage"", ""roofType"": ""Tile"", ""unitCount"": 1}",Single Family,PUD
5,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 1, ""foundationType"": ""Raised"", ""garage"": true, ""garageType"": ""Carport"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roomCount"": 4, ""unitCount"": 1}",Single Family,10-RS6
6,"{""architectureType"": ""Raised Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Wood"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Asphalt"", ""unitCount"": 1, ""roomCount"": 7}",Single Family,R
7,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Mixed"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,RS
8,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick / Stone"", ""fireplace"": true, ""fireplaceType"": ""2 Story"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Asphalt"", ""unitCount"": 1}",Single Family,Unknown
9,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Stucco"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""roofType"": ""Asphalt"", ""roomCount"": 7, ""unitCount"": 1}",Single Family,RSF2
10,"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""pool"": true, ""roofType"": ""Composition Shingle"", ""roomCount"": 4, ""unitCount"": 1}",Single Family,RSF-4.5 RES SFR 4.5 DU/GA
11,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Stucco"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""pool"": true, ""roofType"": ""Asphalt"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,RSF3
12,{},Unknown,Unknown
13,NaN,Land,Unknown
14,"{""floorCount"": 1, ""unitCount"": 1}",Single Family,R3A
15,"{""architectureType"": ""Split Level"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Other"", ""fireplace"": true, ""fireplaceType"": ""Masonry"", ""foundationType"": ""Raised"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""roomCount"": 5}",Single Family,Unknown
16,"{""architectureType"": ""Townhouse"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Brick"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Built-up"", ""unitCount"": 1}",Townhouse,R-8
17,"{""architectureType"": ""Traditional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Carport"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,Unknown
18,"{""exteriorType"": ""Concrete Block"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""roomCount"": 6, ""unitCount"": 1}",Single Family,R1-8
19,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""fireplace"": true, ""fireplaceType"": ""Prefab"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Electric"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,Unknown
20,"{""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageType"": ""Mixed"", ""unitCount"": 1}",Single Family,Unknown
21,"{""architectureType"": ""Ranch / Rambler"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 3, ""garageType"": ""Attached Garage"", ""heating"": true, ""heatingType"": ""Steam"", ""roomCount"": 9, ""unitCount"": 1}",Single Family,A
22,"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""pool"": true, ""poolType"": ""Pool, Plastic w/ Vinyl Lining"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,A
23,"{""exteriorType"": ""Other"", ""floorCount"": 1, ""foundationType"": ""Footing"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,RES
24,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Wood"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Detached"", ""roofType"": ""Shingle"", ""unitCount"": 1}",Single Family,Unknown
25,"{""cooling"": true, ""coolingType"": ""Central"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""unitCount"": 1}",Single Family,Unknown
26,"{""architectureType"": ""Modern"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Wood"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""unitCount"": 1}",Single Family,RS-1
27,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Wood"", ""floorCount"": 1, ""foundationType"": ""Block"", ""garage"": true, ""garageType"": ""Detached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 5}",Single Family,Unknown
28,"{""architectureType"": ""Colonial"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""fireplaceType"": ""Prefab"", ""floorCount"": 2, ""foundationType"": ""OTHER"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Asphalt"", ""roomCount"": 8, ""unitCount"": 1}",Single Family,LB:R6
29,"{""architectureType"": ""Colonial"", ""exteriorType"": ""Wood"", ""floorCount"": 2, ""foundationType"": ""Other"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Detached Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,19R1
30,"{""exteriorType"": ""Brick Veneer"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""roomCount"": 6, ""unitCount"": 1, ""roofType"": ""Shingle""}",Single Family,PUD
31,"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""OTHER"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,Unknown
32,"{""exteriorType"": ""Aluminum Siding"", ""floorCount"": 2, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air""}",Single Family,SD
33,"{""architectureType"": ""Condo / Apartment"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Brick / Stone"", ""floorCount"": 1, ""heating"": true, ""unitCount"": 1, ""viewType"": ""Average""}",Condo,Unknown
34,"{""architectureType"": ""Traditional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 1, ""foundationType"": ""Raised"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Carport"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,Unknown
35,"{""cooling"": true, ""coolingType"": ""Central"", ""fireplace"": true, ""fireplaceType"": ""Masonry"", ""floorCount"": 1, ""foundationType"": ""Raised"", ""garage"": true, ""garageSpaces"": 3, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Asphalt"", ""roomCount"": 5}",Single Family,Unknown
36,"{""architectureType"": ""Traditional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,Unknown
37,"{""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""roomCount"": 6, ""unitCount"": 1, ""heating"": true, ""heatingType"": ""Central""}",Single Family,R8
38,"{""architectureType"": ""Ranch"", ""exteriorType"": ""Wood"", ""fireplace"": true, ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Forced Air"", ""pool"": true, ""poolType"": ""In-Ground Vinyl Pool"", ""unitCount"": 1}",Single Family,R40
39,"{""architectureType"": ""Contemporary"", ""exteriorType"": ""Stucco"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""roomCount"": 6, ""unitCount"": 1, ""cooling"": true, ""coolingType"": ""Central""}",Single Family,R1
40,"{""garage"": true, ""garageSpaces"": 4, ""garageType"": ""Garage"", ""unitCount"": 1}",Single Family,R1
41,"{""architectureType"": ""Duplex"", ""floorCount"": 2, ""garage"": true, ""garageType"": ""Garage"", ""unitCount"": 2}",Duplex-Triplex,R3-2
42,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""fireplace"": true, ""fireplaceType"": ""Single"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Mixed"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,R1
43,"{""architectureType"": ""Condo / Apartment"", ""floorCount"": 1, ""pool"": true}",Condo,Unknown
44,"{""architectureType"": ""Conventional"", ""exteriorType"": ""Brick"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Masonry"", ""heating"": true, ""heatingType"": ""Floor / Wall"", ""roofType"": ""Asphalt"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,RS9
45,NaN,Apartment,Unknown
46,"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Composition"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 8, ""unitCount"": 1}",Single Family,205
47,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Commercial"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 10, ""unitCount"": 1}",Single Family,LCR17500*
48,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Other"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""OTHER"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Heat Pump"", ""roofType"": ""Wood Shingle"", ""unitCount"": 1}",Single Family,R-10
49,{},Single Family,Unknown
50,"{""architectureType"": ""Traditional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Wood"", ""fireplace"": true, ""fireplaceType"": ""Masonry"", ""floorCount"": 2, ""foundationType"": ""Concrete"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""unitCount"": 1}",Single Family,RCH
51,"{""architectureType"": ""Condo / Apartment"", ""unitCount"": 1}",Condo,Unknown
52,NaN,Unknown,Unknown
53,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Frame / Masonry"", ""fireplace"": true, ""fireplaceType"": ""Single"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1, ""pool"": true}",Single Family,J
54,"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Wood"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""OTHER"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Heat Pump"", ""roofType"": ""Composition Shingle"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,Unknown
55,"{""architectureType"": ""Traditional"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Detached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""unitCount"": 1}",Single Family,02 - SINGLE RESIDENCE
56,"{""floorCount"": 1, ""unitCount"": 1}",Single Family,RES AG COUNTY
57,"{""architectureType"": ""Modern"", ""cooling"": true, ""coolingType"": ""Central"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Tile"", ""roomCount"": 9, ""unitCount"": 1}",Single Family,Unknown
58,{},Apartment,Unknown
59,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Vinyl"", ""fireplace"": true, ""fireplaceType"": ""Prefab"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Shingle"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,RG
60,"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Brick"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Detached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,RS6
61,"{""floorCount"": 2}",Single Family,Unknown
62,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 2, ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,R5
63,"{""architectureType"": ""Townhouse"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Wood"", ""fireplace"": true, ""floorCount"": 2, ""foundationType"": ""Slab / Mat / Raft"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Asphalt"", ""roomCount"": 6}",Townhouse,MR
64,"{""floorCount"": 2, ""roomCount"": 6, ""unitCount"": 1}",Single Family,RH1
65,"{""architectureType"": ""Cape Cod"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Wood"", ""fireplace"": true, ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Hot Water"", ""roomCount"": 7, ""unitCount"": 1}",Single Family,R-2
66,"{""fireplace"": true, ""floorCount"": 1, ""unitCount"": 1}",Single Family,RA
67,"{""architectureType"": ""Old Style"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Wood"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Detached"", ""roofType"": ""Shingle"", ""unitCount"": 1}",Single Family,Unknown
68,"{""architectureType"": ""Cape Cod"", ""cooling"": true, ""coolingType"": ""Evaporative"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Block"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,RS-MD
69,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Brick / Stone"", ""fireplace"": true, ""fireplaceType"": ""Single"", ""floorCount"": 1, ""foundationType"": ""OTHER"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""unitCount"": 1}",Single Family,Unknown
70,"{""architectureType"": ""Bungalow"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 1, ""foundationType"": ""Block"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""roofType"": ""Asphalt"", ""roomCount"": 7, ""unitCount"": 1}",Single Family,TR-C1
71,"{""exteriorType"": ""Shingle"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Detached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt""}",Single Family,R1
72,"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Shingle"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,Unknown
73,"{""cooling"": true, ""coolingType"": ""Refrigeration"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 2, ""foundationType"": ""Block"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Detached"", ""heating"": true, ""heatingType"": ""Floor / Wall"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1, ""architectureType"": ""Split Level""}",Duplex-Triplex,Unknown
74,"{""architectureType"": ""Ranch / Rambler"", ""exteriorType"": ""Wood"", ""floorCount"": 1, ""foundationType"": ""Crawl / Raised"", ""heating"": true, ""heatingType"": ""Baseboard"", ""roofType"": ""Composition Shingle"", ""roomCount"": 5}",Single Family,R1
75,"{""architectureType"": ""Modern"", ""cooling"": true, ""coolingType"": ""Central"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 3, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Tile"", ""roomCount"": 9, ""unitCount"": 1}",Single Family,Unknown
76,"{""architectureType"": ""Townhouse"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Wood"", ""floorCount"": 2, ""garage"": true, ""garageType"": ""Basement"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,RTOLE
77,"{""exteriorType"": ""Concrete Block"", ""floorCount"": 1, ""roofType"": ""Other"", ""unitCount"": 1}",Single Family,"0100:SINGLE FAM,GENERAL"
78,"{""cooling"": true, ""coolingType"": ""Refrigeration"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage""}",Single Family,RS4
79,"{""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""unitCount"": 1, ""cooling"": true, ""coolingType"": ""Central"", ""floorCount"": 1}",Single Family,RES 12 EDEN
80,"{""architectureType"": ""Ranch / Rambler"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""fireplace"": true, ""foundationType"": ""Footing"", ""garage"": true, ""garageSpaces"": 3, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle""}",Single Family,RS
81,{},Land,Unknown
82,NaN,Condo,Unknown
83,"{""architectureType"": ""Condo / Apartment"", ""exteriorType"": ""Siding"", ""floorCount"": 3, ""heating"": true, ""heatingType"": ""Electric""}",Apartment,VILLA
84,"{""architectureType"": ""Condo / Apartment"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Carport"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Tile"", ""roomCount"": 4, ""unitCount"": 1}",Condo,Unknown
85,"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""pool"": true, ""poolType"": ""Pool and Hot Tub / Spa"", ""roofType"": ""Tile"", ""unitCount"": 1}",Single Family,AG-2
86,"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Metal"", ""floorCount"": 1, ""foundationType"": ""Block"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""roomCount"": 6}",Single Family,Unknown
87,"{""cooling"": true, ""coolingType"": ""Refrigeration"", ""exteriorType"": ""Block"", ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 7, ""unitCount"": 1}",Single Family,Unknown
88,NaN,Manufactured,Unknown
89,"{""floorCount"": 1, ""garage"": true, ""garageType"": ""Garage"", ""roomCount"": 7, ""unitCount"": 1}",Single Family,Unknown
90,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""OTHER"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""roomCount"": 9, ""unitCount"": 1, ""pool"": true}",Single Family,R100CSO-SINGLE-FAMILY CON
91,"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 1, ""foundationType"": ""OTHER"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Detached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Asphalt"", ""roomCount"": 3, ""unitCount"": 1}",Single Family,R-60
92,"{""architectureType"": ""Conventional"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Floor / Wall"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,TORR-LO
93,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""floorCount"": 2, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle""}",Single Family,PD
